Record #:  3
Notes :
1.	Sirisha - 39 - F, Normal,
Spontaneous blinks ~ 3 mins
Electrode placement: 1
Ch1, Ch2- vertical channel, Ch3-Hrzontal (L- positive, R - negative)
LPF: order= 4, Cut-off:15 Hz
Only one common reference for Ch-A and Ch-B


6/20/20224:22:42 PMRecord #:  3
Notes :
1.	Sirisha - 39 - F, Normal,
Spontaneous blinks ~ 3 mins
Electrode placement: 1
Ch1, Ch2- vertical channel, Ch3-Hrzontal (L- positive, R - negative)
LPF: order= 4, Cut-off:15 Hz
Only one common reference for Ch-A and Ch-B


6/20/20224:22:42 PM
Volts Data

CH1	CH2	CH3	
-14.757782E-3	-17.190211E-3	202.372670E-6
-14.757447E-3	-17.189473E-3	202.015042E-6
-14.757380E-3	-17.189808E-3	201.746821E-6
-14.757313E-3	-17.190702E-3	201.545656E-6
-14.756955E-3	-17.191306E-3	201.322138E-6
-14.756419E-3	-17.191552E-3	201.098621E-6
-14.755949E-3	-17.192088E-3	201.098621E-6
-14.755726E-3	-17.193295E-3	201.456249E-6
-14.755547E-3	-17.194591E-3	202.149153E-6
-14.755234E-3	-17.195173E-3	202.953815E-6
-14.754832E-3	-17.195061E-3	203.870237E-6
-14.754653E-3	-17.195083E-3	204.920769E-6
-14.754787E-3	-17.195664E-3	206.060708E-6
-14.755078E-3	-17.196201E-3	206.954777E-6
-14.755234E-3	-17.195798E-3	207.267702E-6
-14.755189E-3	-17.194435E-3	206.865370E-6
-14.754832E-3	-17.192803E-3	206.172466E-6
-14.753781E-3	-17.191127E-3	205.747783E-6
-14.751367E-3	-17.188556E-3	206.060708E-6
-14.746964E-3	-17.183997E-3	207.535923E-6
-14.740437E-3	-17.177314E-3	210.598111E-6
-14.731944E-3	-17.169334E-3	215.537846E-6
-14.721639E-3	-17.160550E-3	222.377479E-6
-14.709547E-3	-17.150648E-3	230.602920E-6
-14.695935E-3	-17.139137E-3	239.476562E-6
-14.681473E-3	-17.126508E-3	248.394907E-6
